dir,t_in,t_out,entry,exit,lots,move,pnl,reason,bal,p10,p30,h4body,mfe,mae,_b
1,2026-07-07 01:13:00,2026-07-07 03:13:00,4166.39,4153.47,0.01,-12.920000000000073,-12.920000000000073,TIME,10308.229999999989,57.66372376465766,0.2764716124238167,0.09161297165961899,2.0299999999997453,-13.670000000000073,Q1 low
-1,2026-07-07 04:00:00,2026-07-07 06:00:00,4146.01,4136.79,0.01,9.220000000000255,9.220000000000255,TIME,10317.44999999999,81.59037947252234,1.2243098743269847,0.03366040162754834,19.840000000000146,-2.1899999999996,Q1 low
-1,2026-07-07 06:25:00,2026-07-07 08:25:00,4132.52,4126.74,0.01,5.780000000000655,5.780000000000655,TIME,10323.22999999999,85.09466410326661,1.4216767878712857,0.30971676393980346,11.25,-9.079999999999927,Q2
-1,2026-07-08 01:50:00,2026-07-08 03:39:00,4097.68,4122.68,0.01,-25.0,-25.0,SL,10298.22999999999,82.28593541857238,0.5930858900364538,0.51095065534398,1.7899999999999636,-25.56999999999971,Q3
-1,2026-07-09 06:10:00,2026-07-09 08:10:00,4060.69,4068.51,0.01,-7.820000000000164,-7.820000000000164,TIME,10290.40999999999,79.63354919904438,1.1595422046429393,0.36353335564165284,6.119999999999891,-11.269999999999982,Q2
1,2026-07-09 18:20:00,2026-07-09 20:20:00,4127.78,4126.63,0.01,-1.1499999999996362,-1.1499999999996362,TIME,10289.259999999991,69.43486563358837,0.26438514921348316,0.8176945889364413,10.25,-2.8400000000001455,Q3
1,2026-07-10 06:00:00,2026-07-10 08:00:00,4128.01,4115.18,0.01,-12.829999999999927,-12.829999999999927,TIME,10276.429999999991,72.67090524864676,0.6059028872499634,0.6331987510150305,6.769999999999527,-16.07000000000062,Q3
-1,2026-07-10 12:02:00,2026-07-10 14:02:00,4095.3,4106.5,0.01,-11.199999999999818,-11.199999999999818,TIME,10265.229999999992,70.70465314384505,0.8161546584253028,0.09194153556065487,0.0,-17.649999999999636,Q1 low
-1,2026-07-13 05:31:00,2026-07-13 07:31:00,4066.19,4055.7200000000003,0.01,10.4699999999998,10.4699999999998,TIME,10275.699999999992,71.10784909623086,0.5870500425568435,0.5113204412554525,15.599999999999909,-11.599999999999909,Q3
-1,2026-07-13 07:50:00,2026-07-13 09:50:00,4053.04,4056.8100000000004,0.01,-3.7700000000004366,-3.7700000000004366,TIME,10271.929999999991,81.01997654624546,0.5479675176349372,0.6926408997624259,8.929999999999836,-20.350000000000364,Q3
-1,2026-07-13 15:13:00,2026-07-13 17:13:00,4055.58,4036.4,0.01,19.179999999999836,19.179999999999836,TIME,10291.109999999991,58.794262329416725,0.24867960096788994,0.5914578343749763,25.509999999999764,-12.400000000000091,Q3
-1,2026-07-15 07:06:00,2026-07-15 09:06:00,4030.61,4030.54,0.01,0.07000000000016371,0.07000000000016371,TIME,10291.179999999991,71.26929718637778,0.8627716535201903,0.06971439596484595,8.179999999999836,-6.2400000000002365,Q1 low
-1,2026-07-16 23:21:00,2026-07-17 01:21:00,3971.9,3975.73,0.01,-3.8299999999999272,-3.8299999999999272,TIME,10287.349999999991,83.0406362412814,0.9536373451522527,0.9734764593088799,0.0,-8.590000000000146,Q4 high
1,2026-07-17 19:18:00,2026-07-17 21:18:00,4021.09,4012.13,0.01,-8.960000000000036,-8.960000000000036,TIME,10278.389999999992,66.41603561102208,0.9035401617637361,0.08203448254491118,2.7199999999998,-13.430000000000291,Q1 low
1,2026-07-20 06:15:00,2026-07-20 08:15:00,4024.2400000000002,4013.85,0.01,-10.390000000000327,-10.390000000000327,TIME,10267.999999999993,83.54339789779056,0.8558581601959717,0.20949304185834494,3.7099999999995816,-12.41000000000031,Q2
1,2026-07-20 13:34:00,2026-07-20 15:34:00,4024.01,4013.15,0.01,-10.860000000000127,-10.860000000000127,TIME,10257.139999999992,62.90720902006449,0.7242599145366007,0.33539409484767385,16.70999999999958,-16.960000000000036,Q2
1,2026-07-21 04:14:00,2026-07-21 06:14:00,4028.5,4039.07,0.01,10.570000000000164,10.570000000000164,TIME,10267.709999999992,64.44972740958,0.2027994225832545,0.07531116281899294,16.539999999999964,-7.079999999999927,Q1 low
1,2026-07-21 06:25:00,2026-07-21 08:25:00,4042.0800000000004,4051.07,0.01,8.989999999999782,8.989999999999782,TIME,10276.699999999992,85.45432829842858,1.3325044599813254,0.3802436091411849,11.30999999999949,-0.6700000000005275,Q2
1,2026-07-21 08:25:00,2026-07-21 10:25:00,4051.3700000000003,4070.64,0.01,19.269999999999527,19.269999999999527,TIME,10295.96999999999,83.63985607358924,0.7221100575540278,0.8035480707283817,32.82999999999947,-0.36000000000012733,Q3
1,2026-07-22 04:00:00,2026-07-22 06:00:00,4097.87,4130.53,0.01,32.659999999999854,32.659999999999854,TIME,10328.62999999999,82.1915042020366,0.7488396954231779,1.1612927725591413,33.210000000000036,-1.1899999999995998,Q4 high
1,2026-07-22 06:00:00,2026-07-22 08:00:00,4130.83,4126.98,0.01,-3.850000000000364,-3.850000000000364,TIME,10324.77999999999,87.31254455217623,0.834794307274611,1.5781343675298245,10.840000000000146,-6.059999999999491,Q4 high
1,2026-07-22 15:06:00,2026-07-22 17:06:00,4126.2,4155.2,0.01,29.0,29.0,TIME,10353.77999999999,70.9335907791932,0.4849944959450628,1.2172161374644146,37.3100000000004,-19.639999999999418,Q4 high
-1,2026-07-23 11:01:00,2026-07-23 13:01:00,4092.31,4089.67,0.01,2.6399999999998727,2.6399999999998727,TIME,10356.41999999999,76.65827132847895,0.5778720951209291,0.2391782167916756,4.889999999999873,-7.410000000000309,Q2
-1,2026-07-23 13:07:00,2026-07-23 15:07:00,4090.4,4082.6400000000003,0.01,7.7599999999997635,7.7599999999997635,TIME,10364.17999999999,61.07324087325693,0.07340926712442884,0.6179650663815843,17.13000000000011,-5.2400000000002365,Q3
-1,2026-07-23 15:25:00,2026-07-23 17:25:00,4071.74,4052.53,0.01,19.20999999999958,19.20999999999958,TIME,10383.389999999989,84.00326792691372,1.1406795547340018,0.7616383611233696,31.269999999999527,-5.8200000000006185,Q3
